% Moku:Pro Spectrum Analyzer
% Input A
% Input B
% Start freq 10 Hz, stop freq 1.000 kHz, RBW 4.700 Hz (Manual mode), Blackman-Harris window, Video filter off
% Averaging: 1 spectra per frame, 51 frame averages
% Output A (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output B (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% Internal 10 MHz clock
% Acquired 2024-04-22 T 11:30:06 -0700
% Frequency (Hz), Input A (V/rtHz)
5.809124559164e+02, 1.808090e-06
5.832407623529e+02, 2.000614e-06
5.855690687895e+02, 1.957111e-06
5.878973752260e+02, 1.747582e-06
5.902256816626e+02, 1.585701e-06
5.925539880991e+02, 1.355366e-06
5.948822945356e+02, 1.254160e-06
5.972106009722e+02, 1.245864e-06
5.995389074087e+02, 1.266952e-06
6.018672138453e+02, 1.180163e-06
6.041955202818e+02, 1.257196e-06
6.065238267183e+02, 1.263352e-06
6.088521331549e+02, 1.214856e-06
6.111804395914e+02, 1.196406e-06
6.135087460279e+02, 1.542266e-06
6.158370524645e+02, 1.731306e-06
6.181653589010e+02, 1.493388e-06
6.204936653376e+02, 1.397226e-06
6.228219717741e+02, 1.332288e-06
6.251502782106e+02, 1.266686e-06
6.274785846472e+02, 1.157351e-06
6.298068910837e+02, 1.154430e-06
6.321351975203e+02, 1.283195e-06
6.344635039568e+02, 1.370962e-06
6.367918103933e+02, 1.233985e-06
6.391201168299e+02, 1.177094e-06
6.414484232664e+02, 1.187845e-06
6.437767297029e+02, 1.264015e-06
6.461050361395e+02, 1.313673e-06
6.484333425760e+02, 1.196705e-06
6.507616490126e+02, 1.188260e-06
6.530899554491e+02, 1.277189e-06
6.554182618856e+02, 1.249398e-06
6.577465683222e+02, 1.116022e-06
6.600748747587e+02, 1.105105e-06
6.624031811953e+02, 1.037529e-06
6.647314876318e+02, 1.047401e-06
6.670597940683e+02, 1.204586e-06
6.693881005049e+02, 1.249398e-06
6.717164069414e+02, 1.283742e-06
6.740447133780e+02, 1.309110e-06
6.763730198145e+02, 1.604516e-06
6.787013262510e+02, 2.001758e-06
6.810296326876e+02, 2.207505e-06
6.833579391241e+02, 2.011730e-06
6.856862455606e+02, 1.895160e-06
6.880145519972e+02, 1.645065e-06
6.903428584337e+02, 1.336270e-06
6.926711648703e+02, 1.182635e-06
6.949994713068e+02, 1.090671e-06
6.973277777433e+02, 1.108705e-06
6.996560841799e+02, 1.164452e-06
7.019843906164e+02, 1.170026e-06
7.043126970530e+02, 1.202263e-06
7.066410034895e+02, 1.091965e-06
7.089693099260e+02, 9.922849e-07
7.112976163626e+02, 1.038923e-06
7.136259227991e+02, 1.060856e-06
7.159542292356e+02, 1.031573e-06
7.182825356722e+02, 1.067377e-06
7.206108421087e+02, 1.053556e-06
7.229391485453e+02, 9.569291e-07
7.252674549818e+02, 1.059529e-06
7.275957614183e+02, 1.009623e-06
7.299240678549e+02, 9.308644e-07
7.322523742914e+02, 9.140576e-07
7.345806807280e+02, 9.254391e-07
7.369089871645e+02, 9.753122e-07
7.392372936010e+02, 1.021170e-06
7.415656000376e+02, 1.085312e-06
7.438939064741e+02, 1.100327e-06
7.462222129107e+02, 1.136296e-06
7.485505193472e+02, 1.167969e-06
7.508788257837e+02, 1.152075e-06
7.532071322203e+02, 9.724419e-07
7.555354386568e+02, 1.560533e-06
7.578637450933e+02, 2.551241e-06
7.601920515299e+02, 2.339638e-06
7.625203579664e+02, 1.336386e-06
7.648486644030e+02, 8.778224e-07
7.671769708395e+02, 8.575812e-07
7.695052772760e+02, 9.167287e-07
7.718335837126e+02, 9.340167e-07
7.741618901491e+02, 9.272973e-07
7.764901965857e+02, 9.273637e-07
7.788185030222e+02, 1.004164e-06
7.811468094587e+02, 1.020457e-06
7.834751158953e+02, 9.709321e-07
7.858034223318e+02, 9.868430e-07
7.881317287683e+02, 9.864780e-07
7.904600352049e+02, 8.899174e-07
7.927883416414e+02, 9.680618e-07
7.951166480780e+02, 1.025418e-06
7.974449545145e+02, 1.003318e-06
7.997732609510e+02, 9.582730e-07
8.021015673876e+02, 9.656561e-07
8.044298738241e+02, 9.949893e-07
8.067581802607e+02, 9.093125e-07
8.090864866972e+02, 8.853880e-07
